uq_ortho_gene_id	tax_id	prot_seq_id	uniprot_id	ensemble_gene_name	ncbi_gid	description
9796_0:002a0b	9796_0	METTL16	F6ZNF2		100060313	U6 small nuclear RNA (adenine-(43)-N(6))-methyltransferase
9796_0:002a0c	9796_0	CHD3			100073035	LOW QUALITY PROTEIN: chromodomain-helicase-DNA-binding protein 3
9796_0:002a0d	9796_0	LOC100063851			100063851	leucine-rich repeat-containing protein 37A2 isoform X1
9796_0:002a0e	9796_0	LOC102147407			102147407	keratin, type I cytoskeletal 9
9796_0:002a0f	9796_0	TMEM101	F6QXK1		100051396	Transmembrane protein 101
9796_0:002a10	9796_0	E9NME8_HORSE	E9NME8		100062044	Cellular tumor antigen p53
9796_0:002a11	9796_0	PLSCR3	F6U0G2		100072978	Phospholipid scramblase
9796_0:002a12	9796_0	EFCAB3			100065150	EF-hand calcium-binding domain-containing protein 3 isoform X24
9796_0:002a13	9796_0	IFT20			100629220	intraflagellar transport protein 20 homolog isoform X1
9796_0:002a14	9796_0	DLG4			100061544	disks large homolog 4 isoform X1
9796_0:002a15	9796_0	TTYH2			100060986	protein tweety homolog 2 isoform X1
9796_0:002a16	9796_0	KAT2A			100053057	histone acetyltransferase KAT2A isoform X1
9796_0:002a17	9796_0	LOC102150094			102150094	transmembrane protein C17orf113
9796_0:002a18	9796_0	ITGB4			100051679	integrin beta-4 isoform X3
9796_0:002a19	9796_0	LOC100062893			100062893	myosin-8
9796_0:002a1a	9796_0	Q6UBQ5_HORSE	Q6UBQ5		100034045	CD68 protein
9796_0:002a1b	9796_0	KSR1			100071912	kinase suppressor of Ras 1 isoform X4
9796_0:002a1c	9796_0	KRT27			100053988	keratin 27
9796_0:002a1d	9796_0	SARM1	F6QWS4		100059075	Sterile alpha and TIR motif containing 1
9796_0:002a1e	9796_0	CD7			100057113	T-cell antigen CD7
9796_0:002a1f	9796_0	LOC100630693			100630693	ankyrin repeat domain-containing protein 40-like isoform X1
9796_0:002a20	9796_0	SPATA20	F6W2S8		100069987	Spermatogenesis associated 20
9796_0:002a21	9796_0	PSMB3			100068477	proteasome subunit beta type-3
9796_0:002a22	9796_0	ARL5C			100055098	putative ADP-ribosylation factor-like protein 5C isoform X1
9796_0:002a23	9796_0	TBX2			100147603	T-box transcription factor TBX2
9796_0:002a24	9796_0	RPH3AL			100072327	rab effector Noc2 isoform X1
9796_0:002a25	9796_0	BRIP1			100071185	Fanconi anemia group J protein
9796_0:002a26	9796_0	NGFR			100069694	tumor necrosis factor receptor superfamily member 16
9796_0:002a27	9796_0	SLC25A11	F7A7B1		100061330	Solute carrier family 25 member 11
9796_0:002a28	9796_0	SPATA32			100063951	spermatogenesis-associated protein 32 isoform X1
9796_0:002a29	9796_0	YWHAE			100059962	14-3-3 protein epsilon isoform X1
9796_0:002a2a	9796_0	NAGLU			100066052	alpha-N-acetylglucosaminidase
9796_0:002a2b	9796_0	NUP88	F6PLL3		100061117	Nucleoporin 88
9796_0:002a2c	9796_0	KRT16			100066610	keratin, type I cytoskeletal 16
9796_0:002a2d	9796_0	LOC100067332			100067332	keratin-associated protein 1-4
9796_0:002a2e	9796_0	EFCAB3	F6S5N0		100065150	EF-hand calcium binding domain 3
9796_0:002a2f	9796_0	LOC100072638	F7A4U4		100072638	Olfactory receptor
9796_0:002a30	9796_0	MYO1D			100071750	unconventional myosin-Id isoform X1
9796_0:002a31	9796_0	LOC100052171			100052171	alanyl-tRNA editing protein Aarsd1
9796_0:002a32	9796_0	SGCA	F6ZS51		100056285	Sarcoglycan alpha
9796_0:002a33	9796_0	YPEL2	F7AML1		100057281	Protein yippee-like
9796_0:002a34	9796_0	CTNS	F6YJV8		100060554	Cystinosin, lysosomal cystine transporter
9796_0:002a35	9796_0	RUNDC1			100065701	RUN domain-containing protein 1 isoform X1
9796_0:002a36	9796_0	TAC4			100630394	tachykinin-4
9796_0:002a37	9796_0	ST6GALNAC1			100058687	alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 1
9796_0:002a38	9796_0	LOC111775555			111775555	uncharacterized protein LOC111775555
9796_0:002a39	9796_0	P3H4			100066539	endoplasmic reticulum protein SC65
9796_0:002a3a	9796_0	SUPT4H1	F6X649		100057001	Transcription elongation factor SPT4
9796_0:002a3b	9796_0	GIT1			100146940	ARF GTPase-activating protein GIT1 isoform X2
9796_0:002a3c	9796_0	GLOD4			100059869	glyoxalase domain-containing protein 4
9796_0:002a3d	9796_0	PITPNC1	F6XFU8		100034047	PITPNC1
9796_0:002a3e	9796_0	THRA			100054511	thyroid hormone receptor alpha
9796_0:002a3f	9796_0	LOC100147219			100147219	keratin, high-sulfur matrix protein, B2B
9796_0:002a40	9796_0	ITGAE			100072673	integrin alpha-E isoform X1
9796_0:002a41	9796_0	LOC100064281			100064281	Ig-like V-type domain-containing protein FAM187A
9796_0:002a42	9796_0	NDEL1			100062671	nuclear distribution protein nudE-like 1 isoform X1
9796_0:002a43	9796_0	PRKCA			100063318	protein kinase C alpha type isoform X1
9796_0:002a44	9796_0	EME1	F6XT89		100056366	Essential meiotic structure-specific endonuclease 1
9796_0:002a45	9796_0	MPDU1			100062007	mannose-P-dolichol utilization defect 1 protein isoform X1
9796_0:002a46	9796_0	MGAT5B			100058438	alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase B isoform X1
9796_0:002a47	9796_0	PMP22	Q6WL85		100034146	Peripheral myelin protein 22
9796_0:002a48	9796_0	CEP112			100053434	centrosomal protein of 112 kDa isoform X1
9796_0:002a49	9796_0	RAB37	F7CH38		100052585	RAB37, member RAS oncogene family
9796_0:002a4a	9796_0	MMP28			100071568	matrix metalloproteinase-28 isoform X1
9796_0:002a4b	9796_0	CUEDC1			100070783	CUE domain-containing protein 1 isoform X1
9796_0:002a4c	9796_0	PLEKHH3			100065971	pleckstrin homology domain-containing family H member 3
9796_0:002a4d	9796_0	KCTD11	F6W102		100147121	Potassium channel tetramerization domain containing 11
9796_0:002a4e	9796_0	LGALS3BP	F7D7M0		100050573	Galectin 3 binding protein
9796_0:002a4f	9796_0	DNAJC7	F7A445		100053144	DnaJ heat shock protein family (Hsp40) member C7
9796_0:002a50	9796_0	TMEM256	F7DUE9		100061809	TMEM256
9796_0:002a51	9796_0	KRT222	F6S882		100054077	KRT222
9796_0:002a52	9796_0	CBX2			100056959	chromobox protein homolog 2
9796_0:002a53	9796_0	OGFOD3			100056827	2-oxoglutarate and iron-dependent oxygenase domain-containing protein 3 isoform X1
9796_0:002a54	9796_0	TTC19			100073148	tetratricopeptide repeat protein 19, mitochondrial isoform X1
9796_0:002a55	9796_0	CD79B			100064460	B-cell antigen receptor complex-associated protein beta chain isoform X1
9796_0:002a56	9796_0	ARHGAP23			106782827	LOW QUALITY PROTEIN: rho GTPase-activating protein 23
9796_0:002a57	9796_0	TLK2			100054465	serine/threonine-protein kinase tousled-like 2 isoform X1
9796_0:002a58	9796_0	TNRC6C			100058134	trinucleotide repeat-containing gene 6C protein isoform X1
9796_0:002a59	9796_0	RILP			100060052	rab-interacting lysosomal protein isoform X4
9796_0:002a5a	9796_0	LOC100072933			100072933	C-type lectin domain family 10 member A-like isoform X1
9796_0:002a5b	9796_0	LOC100070881			100070881	LOW QUALITY PROTEIN: olfactory receptor 4D1-like
9796_0:002a5c	9796_0	SLC16A3	A5JST7		100056191	Monocarboxylate transporter MCT4
9796_0:002a5d	9796_0	FBXO47	F7CXZ2		100068413	F-box protein 47
9796_0:002a5e	9796_0	GPATCH8			106780829	G patch domain-containing protein 8 isoform X1
9796_0:002a5f	9796_0	OTOP2			100052294	otopetrin-2
9796_0:002a60	9796_0	EXOC7	F7D1R8		100059108	Exocyst complex component 7
9796_0:002a61	9796_0	TLCD1	F6WSW0		100059417	TLC domain containing 1
9796_0:002a62	9796_0	C1QBP			100072802	complement component 1 Q subcomponent-binding protein, mitochondrial
9796_0:002a63	9796_0	RFNG			100057395	beta-1,3-N-acetylglucosaminyltransferase radical fringe isoform X1
9796_0:002a64	9796_0	HEXIM1	F7DSW2		100050208	Hexamethylene bisacetamide inducible 1
9796_0:002a65	9796_0	EFTUD2	F6VUI6		100050574	Elongation factor Tu GTP binding domain containing 2
9796_0:002a66	9796_0	CEP131			100056159	centrosomal protein of 131 kDa isoform X1
9796_0:002a67	9796_0	HOXB6	F6QVG5		100055701	Homeobox B6
9796_0:002a68	9796_0	IGFBP4			100034062	insulin-like growth factor-binding protein 4
9796_0:002a69	9796_0	LOC100072631	F7B313		100072631	Olfactory receptor
9796_0:002a6a	9796_0	NEURL4			100061746	neuralized-like protein 4 isoform X1
9796_0:002a6b	9796_0	TBX21			100147606	T-box transcription factor TBX21
9796_0:002a6c	9796_0	TMEM106A	F6QZI2		100065621	Transmembrane protein 106A
9796_0:002a6d	9796_0	ZNF18			100073093	zinc finger protein 18 isoform X1
9796_0:002a6e	9796_0	MYH10	F6YX05		100062708	Myosin heavy chain 10
9796_0:002a6f	9796_0	RNF222	F6XQV6		100062634	Ring finger protein 222
9796_0:002a70	9796_0	CCDC137			100055700	coiled-coil domain-containing protein 137
9796_0:002a71	9796_0	OVCA2			106780844	esterase OVCA2
9796_0:002a72	9796_0	DHRS7C			100073077	dehydrogenase/reductase SDR family member 7C isoform X1
9796_0:002a73	9796_0	LOC106783258			106783258	keratin-associated protein 2-1
9796_0:002a74	9796_0	HES7			100062391	transcription factor HES-7
9796_0:002a75	9796_0	PITPNM3			100072757	membrane-associated phosphatidylinositol transfer protein 3
9796_0:002a76	9796_0	SCN4A	Q28371		100049793	Sodium channel protein type 4 subunit alpha
9796_0:002a77	9796_0	PRR15L			100055530	proline-rich protein 15-like protein isoform X1
9796_0:002a78	9796_0	FOXN1			100059109	forkhead box protein N1 isoform X1
9796_0:002a79	9796_0	SLC35B1	F6Y9G4		100069752	Solute carrier family 35 member B1
9796_0:002a7a	9796_0	LOC106783258	F6TZH6		100067281	LOC106783258
9796_0:002a7b	9796_0	MKS1			100056833	Meckel syndrome type 1 protein isoform X1
9796_0:002a7c	9796_0	NAA38	F6ZHT4		100062142	N(alpha)-acetyltransferase 38, NatC auxiliary subunit
9796_0:002a7d	9796_0	RHBDL3			100071775	rhomboid-related protein 3 isoform X1
9796_0:002a7e	9796_0	PSMC5	F6W9Z5		100053987	26S protease regulatory subunit 8-like protein
9796_0:002a7f	9796_0	TUBD1	F6ZU39		100057442	Tubulin delta 1
9796_0:002a80	9796_0	WFIKKN2	F7CRY5		100070101	WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 2
9796_0:002a81	9796_0	UNC119	F6ZL53		100059151	Unc-119 lipid binding chaperone
9796_0:002a82	9796_0	KLHL10	F6XWF4		100053248	Kelch like family member 10
9796_0:002a83	9796_0	DUS1L			100057354	tRNA-dihydrouridine(16/17) synthase 
9796_0:002a84	9796_0	LOC100072583	F6V8X3		100072583	LOC100072583
9796_0:002a85	9796_0	ACAP1			100072970	arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 1 isoform X1
9796_0:002a86	9796_0	ARSG			100062864	arylsulfatase G isoform X1
9796_0:002a87	9796_0	IFI35	F6U7D9		100052050	Interferon induced protein 35
9796_0:002a88	9796_0	NCBP3			100072681	nuclear cap-binding protein subunit 3 isoform X1
9796_0:002a89	9796_0	NPEPPS			100069104	puromycin-sensitive aminopeptidase isoform X2
9796_0:002a8a	9796_0	DERL2	F6Q795		100061027	Derlin
9796_0:002a8b	9796_0	DGKE			100056676	diacylglycerol kinase epsilon isoform X1
9796_0:002a8c	9796_0	ATP5PD	F6YAZ0		100052170	ATP synthase subunit d, mitochondrial
9796_0:002a8d	9796_0	SHISA6			100073090	protein shisa-6 homolog isoform X1
9796_0:002a8e	9796_0	RECQL5			100059566	ATP-dependent DNA helicase Q5 isoform X1
9796_0:002a8f	9796_0	F2VR37_HORSE	F2VR37		100147233	Tumor necrosis factor superfamily member 13
9796_0:002a90	9796_0	ABR			100059804	active breakpoint cluster region-related protein isoform X1
9796_0:002a91	9796_0	MYO1C			100059989	unconventional myosin-Ic isoform X1
9796_0:002a92	9796_0	RNFT1			100071124	E3 ubiquitin-protein ligase RNFT1 isoform X1
9796_0:002a93	9796_0	KRT28	F6Z000		100067557	KRT28
9796_0:002a94	9796_0	CEP295NL			100629722	protein DDC8 homolog
9796_0:002a95	9796_0	LOC111775661			111775661	uncharacterized protein LOC111775661
9796_0:002a96	9796_0	STAC2			100068363	SH3 and cysteine-rich domain-containing protein 2 isoform X1
9796_0:002a97	9796_0	HS3ST3B1	F6SM40		100063069	Sulfotransferase
9796_0:002a98	9796_0	LLGL1			100051856	lethal(2) giant larvae protein homolog 1 isoform X1
9796_0:002a99	9796_0	CLTC			100057364	clathrin heavy chain 1 isoform X1
9796_0:002a9a	9796_0	STRADA			100064638	STE20-related kinase adapter protein alpha isoform X1
9796_0:002a9b	9796_0	LOC106781227			106781227	putative uncharacterized protein FLJ38447
9796_0:002a9c	9796_0	CCL11	Q9TTQ4		100033949	Eotaxin
9796_0:002a9d	9796_0	NF1			100071896	neurofibromin isoform X3
9796_0:002a9e	9796_0	LOC100072547	F6PKI5		100072547	Olfactory receptor
9796_0:002a9f	9796_0	CCL13			100033951	C-C motif chemokine 13 precursor
9796_0:002aa0	9796_0	RANGRF	F7D0I1		100062561	RAN guanine nucleotide release factor
9796_0:002aa1	9796_0	SYNGR2			100057958	synaptogyrin-2
9796_0:002aa2	9796_0	KRT24	F6W8W3		100067626	Keratin 24
9796_0:002aa3	9796_0	KRT32			100066752	keratin, type I cuticular Ha2
9796_0:002aa4	9796_0	SCPEP1			100070731	retinoid-inducible serine carboxypeptidase
9796_0:002aa5	9796_0	ERBB2			100054739	receptor tyrosine-protein kinase erbB-2 isoform X1
9796_0:002aa6	9796_0	KIF18B			100050343	kinesin-like protein KIF18B isoform X1
9796_0:002aa7	9796_0	ARHGDIA			100049942	rho GDP-dissociation inhibitor 1
9796_0:002aa8	9796_0	LOC100057859	F6TC33		100057859	C-C motif chemokine
9796_0:002aa9	9796_0	MPRIP			100052994	LOW QUALITY PROTEIN: myosin phosphatase Rho-interacting protein
9796_0:002aaa	9796_0	DBF4B			100064370	protein DBF4 homolog B isoform X1
9796_0:002aab	9796_0	CAVIN1	F7CS30		100066120	Caveolae associated protein 1
9796_0:002aac	9796_0	NLRP1			100072788	NACHT, LRR and PYD domains-containing protein 1 isoform X1
9796_0:002aad	9796_0	MRPL10	F7E2S2		100055406	Mitochondrial ribosomal protein L10
9796_0:002aae	9796_0	FKBP10	F7ALX0		100066516	Peptidylprolyl isomerase
9796_0:002aaf	9796_0	MYO19			100071404	unconventional myosin-XIX isoform X1
9796_0:002ab0	9796_0	CD300LG			100064966	CMRF35-like molecule 9 isoform X1
9796_0:002ab1	9796_0	CHMP6			100050276	charged multivesicular body protein 6
9796_0:002ab2	9796_0	GAS7	F6VMR5		100073080	Growth arrest specific 7
9796_0:002ab3	9796_0	ARL4D	F7CXK4		100051867	ADP ribosylation factor like GTPase 4D
9796_0:002ab4	9796_0	LOC111775556			111775556	uncharacterized protein LOC111775556
9796_0:002ab5	9796_0	VAT1	F6XC16		100065682	Vesicle amine transport 1
9796_0:002ab6	9796_0	HOXB5	F6SJ66		100055656	Homeobox B5
9796_0:002ab7	9796_0	APOH	F6Z041		100063250	Apolipoprotein H
9796_0:002ab8	9796_0	KCNAB3	F7BC63		100062213	Potassium voltage-gated channel subfamily A regulatory beta subunit 3
9796_0:002ab9	9796_0	EPOP			100068588	elongin BC and Polycomb repressive complex 2-associated protein
9796_0:002aba	9796_0	LRRC46			100069167	leucine-rich repeat-containing protein 46
9796_0:002abb	9796_0	Q52MQ6_HORSE	Q52MQ6		100009709	Integrin beta
9796_0:002abc	9796_0	LOC102147675			102147675	zinc finger protein 594-like
9796_0:002abd	9796_0	MRM3	F6X9N5		100072276	Mitochondrial rRNA methyltransferase 3
9796_0:002abe	9796_0	HASPIN			102148640	serine/threonine-protein kinase haspin isoform X1
9796_0:002abf	9796_0	LSM12	F6YE35		100051326	LSM12 homolog
9796_0:002ac0	9796_0	FBXL20			100068335	F-box/LRR-repeat protein 20 isoform X1
9796_0:002ac1	9796_0	TEN1	F6SU26		100146544	TEN1, CST complex subunit
9796_0:002ac2	9796_0	TUBG2	F6RCT5		100052528	Tubulin gamma chain
9796_0:002ac3	9796_0	SKA2			100629882	spindle and kinetochore-associated protein 2 isoform X1
9796_0:002ac4	9796_0	MYH2	Q8MJV1		791236	Myosin-2
9796_0:002ac5	9796_0	LOC111775724			111775724	uncharacterized protein LOC111775724
9796_0:002ac6	9796_0	ACACA			100071472	acetyl-CoA carboxylase 1 isoform X1
9796_0:002ac7	9796_0	ODF4			100073060	outer dense fiber protein 4 isoform X1
9796_0:002ac8	9796_0	BRCA1	F6SQ43		100051990	Breast cancer type 1 susceptibility protein homolog
9796_0:002ac9	9796_0	LOC100061153			100061153	zinc finger protein 3 homolog
9796_0:002aca	9796_0	NOL11	F6USV6		100063762	Nucleolar protein 11
9796_0:002acb	9796_0	ZMYND15	F6SWJ8		100061402	Zinc finger MYND-type containing 15
9796_0:002acc	9796_0	EIF5A			100146743	eukaryotic translation initiation factor 5A-1
9796_0:002acd	9796_0	ANKRD40			100070058	ankyrin repeat domain-containing protein 40 isoform X1
9796_0:002ace	9796_0	MAP2K3			100053481	dual specificity mitogen-activated protein kinase kinase 3
9796_0:002acf	9796_0	LOC100067256	F6VXF0		100067256	LOC100067256
9796_0:002ad0	9796_0	ALOX12B	F6PXL3		100062323	Arachidonate 12-lipoxygenase, 12R type
9796_0:002ad1	9796_0	LOC100071548			100071548	C-C motif chemokine 14
9796_0:002ad2	9796_0	TMEM11			100053330	transmembrane protein 11, mitochondrial isoform X1
9796_0:002ad3	9796_0	MED11	F7DL60		100072890	Mediator of RNA polymerase II transcription subunit 11
9796_0:002ad4	9796_0	TANC2			100054415	protein TANC2 isoform X1
9796_0:002ad5	9796_0	COPRS			100071846	coordinator of PRMT5 and differentiation stimulator isoform X1
9796_0:002ad6	9796_0	GH1	P01245		100034180	Somatotropin
9796_0:002ad7	9796_0	UNC13D			100059416	protein unc-13 homolog D isoform X1
9796_0:002ad8	9796_0	DPH1			100060117	2-(3-amino-3-carboxypropyl)histidine synthase subunit 1 isoform X1
9796_0:002ad9	9796_0	JPT1	F7A978		100059961	Jupiter microtubule associated homolog 1
9796_0:002ada	9796_0	PTRH2	F6XGU7		100071096	Peptidyl-tRNA hydrolase 2
9796_0:002adb	9796_0	LOC100072001			100072001	galectin-9-like
9796_0:002adc	9796_0	BHLHA9			111775776	class A basic helix-loop-helix protein 9
9796_0:002add	9796_0	LOC111775777			111775777	olfactory receptor 1G1-like
9796_0:002ade	9796_0	CRHR1			100065598	corticotropin-releasing factor receptor 1
9796_0:002adf	9796_0	PELP1			100072897	proline-, glutamic acid- and leucine-rich protein 1 isoform X3
9796_0:002ae0	9796_0	CCDC103	F6XC34		100050498	Coiled-coil domain containing 103
9796_0:002ae1	9796_0	5HTT;SLC6A4	F6QG30		100033848	Transporter
9796_0:002ae2	9796_0	TRPV3			100072667	transient receptor potential cation channel subfamily V member 3
9796_0:002ae3	9796_0	HOXB13	F6ZTG6		100055745	Homeobox B13
9796_0:002ae4	9796_0	KRT25	F7AFB5		100054031	KRT25
9796_0:002ae5	9796_0	ZNF287			100073142	zinc finger protein 287 isoform X2
9796_0:002ae6	9796_0	LYRM9			100629155	LYR motif-containing protein 9
9796_0:002ae7	9796_0	MYH1	Q8MJV0		791235	Myosin-1
9796_0:002ae8	9796_0	FBXO39	F6S9F2		100072742	F-box protein 39
9796_0:002ae9	9796_0	TTLL6			100069471	tubulin polyglutamylase TTLL6 isoform X1
9796_0:002aea	9796_0	LOC100629714			100629714	keratin-associated protein 3-1-like
9796_0:002aeb	9796_0	OTOP3			100060249	otopetrin-3
9796_0:002aec	9796_0	MIEF2			100050635	mitochondrial dynamics protein MID49 isoform X1
9796_0:002aed	9796_0	SLFN5	F6Z717		100071635	Schlafen family member 5
9796_0:002aee	9796_0	STARD3	F6REM1		100054870	StAR related lipid transfer domain containing 3
9796_0:002aef	9796_0	CCR7	F6SPH5		100067673	C-C motif chemokine receptor 7
9796_0:002af0	9796_0	LOC100052954			100052954	signal transducer and activator of transcription 5B isoform X1
9796_0:002af1	9796_0	ARHGEF15			100073056	rho guanine nucleotide exchange factor 15
9796_0:002af2	9796_0	ARHGAP44	F6SM93		100073101	Rho GTPase activating protein 44
9796_0:002af3	9796_0	LOC106780891			106780891	schlafen family member 13
9796_0:002af4	9796_0	LOC106783258	F6TZH6		100067230	LOC106783258
9796_0:002af5	9796_0	COA3	F7CQ91		100052353	Cytochrome c oxidase assembly factor 3
9796_0:002af6	9796_0	ATXN7L3			100064752	ataxin-7-like protein 3 isoform X1
9796_0:002af7	9796_0	CAMKK1			100060657	calcium/calmodulin-dependent protein kinase kinase 1 isoform X1
9796_0:002af8	9796_0	CBX4			100146225	E3 SUMO-protein ligase CBX4
9796_0:002af9	9796_0	LOC100060387			100060387	olfactory receptor 56-like
9796_0:002afa	9796_0	SERPINF2	F6X449		100060087	Serpin family F member 2
9796_0:002afb	9796_0	PDE6G			100055790	retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit gamma
9796_0:002afc	9796_0	LOC100146440			100146440	E3 ubiquitin/ISG15 ligase TRIM25 isoform X1
9796_0:002afd	9796_0	SMARCE1	F6U286		100054136	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1
9796_0:002afe	9796_0	SLC25A39	F7ALG7		100064639	Solute carrier family 25 member 39
9796_0:002aff	9796_0	ZNF385C			100066372	zinc finger protein 385C isoform X1
9796_0:002b00	9796_0	SPECC1			100063358	cytospin-B isoform X1
9796_0:002b01	9796_0	NKIRAS2	F6R224		100053094	NFKB inhibitor interacting Ras like 2
9796_0:002b02	9796_0	TNK1			100061776	non-receptor tyrosine-protein kinase TNK1 isoform X1
9796_0:002b03	9796_0	DDX42			100054076	ATP-dependent RNA helicase DDX42 isoform X1
9796_0:002b04	9796_0	TOB1			100056451	protein Tob1
9796_0:002b05	9796_0	GNGT2	F6UD42		100069660	Guanine nucleotide-binding protein subunit gamma
9796_0:002b06	9796_0	TRAF4			100072085	TNF receptor-associated factor 4 isoform X1
9796_0:002b07	9796_0	FMNL1			100064045	formin-like protein 1 isoform X1
9796_0:002b08	9796_0	KRT33B	F6ZTT5		100066876	Keratin 33B
9796_0:002b09	9796_0	TMEM98			100071736	transmembrane protein 98
9796_0:002b0a	9796_0	TOM1L1			100070513	TOM1-like protein 1
9796_0:002b0b	9796_0	CRYBA1			100072130	beta-crystallin A3
9796_0:002b0c	9796_0	MPP3			100051680	MAGUK p55 subfamily member 3 isoform X1
9796_0:002b0d	9796_0	PLEKHM1			100050008	pleckstrin homology domain-containing family M member 1 isoform X1
9796_0:002b0e	9796_0	CNTROB			100062287	centrobin isoform X1
9796_0:002b0f	9796_0	SSH2			100072180	protein phosphatase Slingshot homolog 2 isoform X1
9796_0:002b10	9796_0	HEATR6			100071508	HEAT repeat-containing protein 6
9796_0:002b11	9796_0	C11H17orf67	F6Y6G2		100070690	Chromosome 11 C17orf67 homolog
9796_0:002b12	9796_0	MYH3			100063003	myosin-3
9796_0:002b13	9796_0	CHAD	F6WD70		100147607	Chondroadherin
9796_0:002b14	9796_0	RETREG3	F6UMD8		100065999	Reticulophagy regulator family member 3
9796_0:002b15	9796_0	ZNF232			111775756	LOW QUALITY PROTEIN: zinc finger protein 232
9796_0:002b16	9796_0	UNK	F6SJ14		100059450	Unkempt family zinc finger
9796_0:002b17	9796_0	CHRNE			100146223	acetylcholine receptor subunit epsilon isoform X1
9796_0:002b18	9796_0	PER1			100073046	period circadian protein homolog 1 isoform X1
9796_0:002b19	9796_0	PPP1R1B			100068204	protein phosphatase 1 regulatory subunit 1B isoform X1
9796_0:002b1a	9796_0	BCL6B			100147131	B-cell CLL/lymphoma 6 member B protein isoform X1
9796_0:002b1b	9796_0	MYL4	F6VNB1		100054510	Myosin light chain 4
9796_0:002b1c	9796_0	NT5M			100052684	LOW QUALITY PROTEIN: 5'(3')-deoxyribonucleotidase, mitochondrial
9796_0:002b1d	9796_0	COL1A1			100033877	collagen alpha-1(I) chain
9796_0:002b1e	9796_0	FAM83G			100147132	protein FAM83G
9796_0:002b1f	9796_0	EZH1			100052411	histone-lysine N-methyltransferase EZH1
9796_0:002b20	9796_0	ZNHIT3			100071410	zinc finger HIT domain-containing protein 3
9796_0:002b21	9796_0	NSRP1			100072203	nuclear speckle splicing regulatory protein 1 isoform X1
9796_0:002b22	9796_0	PLD6			100052895	mitochondrial cardiolipin hydrolase
9796_0:002b23	9796_0	EMC6	F6QQ51		100060628	ER membrane protein complex subunit 6
9796_0:002b24	9796_0	CAMTA2			100072844	calmodulin-binding transcription activator 2 isoform X1
9796_0:002b25	9796_0	LRRC3C			100067960	leucine-rich repeat-containing protein 3C
9796_0:002b26	9796_0	BPTF			100063881	nucleosome-remodeling factor subunit BPTF isoform X1
9796_0:002b27	9796_0	ENO3	F7C959		100061187	Enolase 3
9796_0:002b28	9796_0	KRT20			100053884	keratin, type I cytoskeletal 20
9796_0:002b29	9796_0	ICAM2			100064400	intercellular adhesion molecule 2 isoform X1
9796_0:002b2a	9796_0	KRT14			100053489	keratin, type I cytoskeletal 14
9796_0:002b2b	9796_0	RPL19			100034006	60S ribosomal protein L19
9796_0:002b2c	9796_0	GJC1	F7CQQ4		100050732	Gap junction protein
9796_0:002b2d	9796_0	AATK			100056201	serine/threonine-protein kinase LMTK1 isoform X1
9796_0:002b2e	9796_0	LOC100072608			100072608	olfactory receptor 1A1-like
9796_0:002b2f	9796_0	PSMD12	F6PY78		100063689	Proteasome 26S subunit, non-ATPase 12
9796_0:002b30	9796_0	LOC111775548			111775548	atherin-like
9796_0:002b31	9796_0	ENDOV			100056365	endonuclease V isoform X1
9796_0:002b32	9796_0	TSPAN10			100055829	tetraspanin-10
9796_0:002b33	9796_0	LOC100072662	F6UGR9		100072662	Olfactory receptor
9796_0:002b34	9796_0	SPACA3			100071732	sperm acrosome membrane-associated protein 3
9796_0:002b35	9796_0	PSME3	F6QVK5		100065788	PSME3
9796_0:002b36	9796_0	MBTD1			100070259	MBT domain-containing protein 1 isoform X1
9796_0:002b37	9796_0	PPP1R9B			100069854	neurabin-2
9796_0:002b38	9796_0	EVI2B;OMG	F6WQL1		100058650	Ecotropic viral integration site 2B
9796_0:002b39	9796_0	C11H17orf58	F6XT12		100053685	Chromosome 11 C17orf58 homolog
9796_0:002b3a	9796_0	RAPGEFL1			100054416	rap guanine nucleotide exchange factor-like 1
9796_0:002b3b	9796_0	SRSF2			111775581	serine/arginine-rich splicing factor 2
9796_0:002b3c	9796_0	LRRC59			100069924	leucine-rich repeat-containing protein 59
9796_0:002b3d	9796_0	FXR2			100147323	fragile X mental retardation syndrome-related protein 2
9796_0:002b3e	9796_0	LOC111775778			111775778	olfactory receptor 1E2-like
9796_0:002b3f	9796_0	LOC100067877	F7DEV9		100067877	LOC100067877
9796_0:002b40	9796_0	LOC100059232	F6V731		100059232	LOC100059232
9796_0:002b41	9796_0	FGF19			100060488	fibroblast growth factor 19
9796_0:002b42	9796_0	HIPK3			106781398	homeodomain-interacting protein kinase 3
9796_0:002b43	9796_0	PYGM	B9A9U9		100050345	Alpha-1,4 glucan phosphorylase
9796_0:002b44	9796_0	LOC102150741			102150741	ral guanine nucleotide dissociation stimulator-like isoform X1
9796_0:002b45	9796_0	LOC100053768	F7DR15		100053768	Olfactory receptor
9796_0:002b46	9796_0	LOC100062657			100062657	LOW QUALITY PROTEIN: olfactory receptor 4S1-like
9796_0:002b47	9796_0	C12H11orf49			100050961	UPF0705 protein C11orf49 homolog isoform X1
